Date,Open,High,Low,Close,Adj Close,Volume
8/18/2020,30,30.5,13,13.65,13.65,112900
8/19/2020,16,16.125,11.05,12.5,12.5,106400
8/20/2020,14.89,34,14,25,25,63500
8/21/2020,29.9,29.9,11.75,13.7,13.7,291300
8/24/2020,15,17.950001,9,12.28,12.28,98500
8/25/2020,12.28,14.03,9.76,12,12,73900
8/26/2020,12.09,13.7,12,12.28,12.28,34400
8/27/2020,12.8,12.8,10.51,10.7,10.7,39600
8/28/2020,11.5,11.5,9.74,10,10,53500
8/31/2020,10.5,10.5,8.01,9.5,9.5,46900
9/1/2020,9.9,10.25,9.5,10.01,10.01,33200
9/2/2020,10.37,10.49,9.03,9.05,9.05,17900
9/3/2020,9,9.025,8.5,9,9,17100
9/4/2020,8.51,8.51,8.2,8.35,8.35,15200
9/8/2020,8.5,9,8.35,8.35,8.35,17900
9/9/2020,8.45,10.3,8.4,9.65,9.65,22000
9/10/2020,9.9,9.9,8.75,9.5,9.5,7600
9/11/2020,9.5,9.5,8.5,9,9,11200
9/14/2020,9.075,9.1,8.4,9,9,6800
9/15/2020,9.55,9.55,8.8,9.11,9.11,4600
9/16/2020,9.15,9.15,8.66,8.95,8.95,11200
9/17/2020,8.95,8.95,8.5,8.54,8.54,8100
9/18/2020,8.6,8.6,8.3,8.39,8.39,6800
9/21/2020,8.35,8.38,7.95,8.1,8.1,24200
9/22/2020,8.2,8.2,7.75,8.1,8.1,16700
9/23/2020,8.1,8.33,7.85,7.85,7.85,19500
9/24/2020,8,8.37,7.97,7.97,7.97,10600
9/25/2020,8.3,8.3,6,7,7,32600
9/28/2020,6.25,7.29,6,6,6,34800
9/29/2020,6,6.2,5.01,5.6,5.6,41300
9/30/2020,5.55,5.55,5,5.35,5.35,39600
10/1/2020,5.49,5.49,4.35,4.75,4.75,40900
10/2/2020,4.725,4.725,4.11,4.55,4.55,36700
10/5/2020,4.2,6.5,4.2,4.36,4.36,28400
10/6/2020,4.57,5.45,4.35,5.45,5.45,14900
10/7/2020,5.5,5.5,4.85,5.15,5.15,10000
10/8/2020,5.2,6.1,5.13,6.1,6.1,21600
10/9/2020,6.24,8.5,6.24,8.5,8.5,51000
10/12/2020,8.49,9.4,8.06,8.8,8.8,41700
10/13/2020,9.01,9.38,8,8.6,8.6,39300
10/14/2020,9,9.15,8.7,8.7,8.7,37000
10/15/2020,8.69,8.7,8.08,8.7,8.7,28900
10/16/2020,8.575,10.15,8.4,10.15,10.15,33800
10/19/2020,10.51,14,10.51,12.41,12.41,92700
10/20/2020,13.13,15.845,12.9,14.5,14.5,122300
10/21/2020,15.62,19,14.5,17.459999,17.459999,93500
10/22/2020,19.5,21.5,17.75,21.5,21.5,147400
10/23/2020,22,24.5,12.87,17.6,17.6,132400
10/26/2020,16.049999,17.799999,13.175,13.2,13.2,90200
10/27/2020,13.8,17.040001,13.8,16.709999,16.709999,75000
10/28/2020,15.8,17.85,13,14,14,95000
10/29/2020,14.99,14.99,12.5,14,14,29500
10/30/2020,13.01,13.75,11,11.66,11.66,70400
11/2/2020,11.63,11.63,10.3,10.99,10.99,64100
11/3/2020,10.95,14,10.95,13.5,13.5,85800
11/4/2020,13.49,13.49,12.15,12.7,12.7,34900
11/5/2020,13.6,17.5,13.6,16,16,310300
11/6/2020,17.200001,17.9,15.5,17.1,17.1,94000
11/9/2020,17.200001,17.200001,14.01,14.79,14.79,65100
11/10/2020,14.6,16.01,13.57,13.8,13.8,30400
11/11/2020,13.75,15.5,13.75,14.99,14.99,30900
11/12/2020,15.29,15.375,14.22,15.1,15.1,55400
11/13/2020,15.5,15.5,14,14.86,14.86,39000
11/16/2020,15.49,16,14.78,15.085,15.085,49200
11/17/2020,15.1,17.35,14.8,17.35,17.35,97700
11/18/2020,17.41,17.9,15.06,15.7,15.7,72600
11/19/2020,17.9,17.9,16,17,17,32600
11/20/2020,17.825001,19.35,17.5,19.1,19.1,78700
11/23/2020,20.5,27.77,19.5,26.35,26.35,194000
11/24/2020,28.4,44,28.355,37.900002,37.900002,305200
11/25/2020,41,41.549999,33,33.959999,33.959999,143600
11/27/2020,29.99,31.25,23.5,28.5,28.5,132100
11/30/2020,34,39.509998,33,36,36,114100
12/1/2020,36.200001,37.119999,32,36.77,36.77,68900
12/2/2020,37.25,37.950001,34.889999,37.790001,37.790001,39200
12/3/2020,38.099998,39.950001,37.674999,38.950001,38.950001,49800
12/4/2020,38.869999,39,33,36.650002,36.650002,58900
12/7/2020,35,37.009998,31.5,32.549999,32.549999,69100
12/8/2020,31,32.450001,27,28,28,75000
12/9/2020,28,28.5,24.51,25.4,25.4,37900
12/10/2020,24.51,29.98,22.16,29.790001,29.790001,34700
12/11/2020,29.790001,29.790001,26.25,28.190001,28.190001,22900
12/14/2020,30.5,31.5,29,30.58,30.58,41000
12/15/2020,31.99,35.880001,31.99,35.400002,35.400002,57700
12/16/2020,38.75,47,38,45.990002,45.990002,118900
12/17/2020,50.009998,60,50,56.299999,56.299999,175400
12/18/2020,53.599998,58.91,46.880001,55.25,55.25,99900
12/21/2020,54.740002,54.799999,50.549999,53.25,53.25,63200
12/22/2020,54.525002,55.32,54,54.119999,54.119999,41400
12/23/2020,53.16,54.139999,44.98,48.5,48.5,73600
12/24/2020,48.48,48.5,38,38.5,38.5,119600
12/28/2020,41.860001,50.049999,35.209999,36.5,36.5,211100
12/29/2020,38,38,23.01,29.049999,29.049999,206100
12/30/2020,30.975,32,26.5,27.540001,27.540001,164800
12/31/2020,26.85,28.25,23.02,24.68,24.68,203100
1/4/2021,28.235001,30.91,20,20.4,20.4,258100
1/5/2021,20.66,29.799999,20.66,26.33,26.33,192700
1/6/2021,30,37.5,28.5,36.5,36.5,244600
1/7/2021,39,42,36.009998,37,37,195900
1/8/2021,39.450001,39.450001,30,31.02,31.02,147500
1/11/2021,29,31.049999,21.120001,29.98,29.98,159900
1/12/2021,30,31.700001,25,28,28,110600
1/13/2021,27.1,30.9,26.5,30,30,68400
1/14/2021,30.690001,33,29.049999,29.5,29.5,79100
1/15/2021,29,29,26.02,27.200001,27.200001,61000
1/19/2021,30,30,24.004999,25.5,25.5,84700
1/20/2021,24.5,25.5,22.18,23.75,23.75,123400
1/21/2021,22.1,24.5,21,22.4,22.4,64500
1/22/2021,22.049999,24.889999,22.049999,24.49,24.49,37700
1/25/2021,26.5,26.5,23.9,24.85,24.85,36200
1/26/2021,24.85,25.66,22.799999,23.75,23.75,25900
1/27/2021,22.625,22.959999,20,21.5,21.5,56000
1/28/2021,22,24.23,20.25,22.01,22.01,33800
1/29/2021,25.5,26.25,23.4,24.5,24.5,85300
2/1/2021,25,26,22.610001,23.9,23.9,32200
2/2/2021,24.5,27.48,24.049999,27.48,27.48,58700
2/3/2021,27.5,28,25.25,26,26,45200
2/4/2021,26.01,26.969999,24.1,25.4,25.4,42100
2/5/2021,26.49,27.6,25.219999,26.4,26.4,60400
2/8/2021,30.969999,30.969999,27,29.5,29.5,122200
