Date,Open,High,Low,Close,Adj Close,Volume
8/20/2020,2.787857,3.077784,2.692896,2.90008,2.90008,48819867
8/21/2020,2.896923,3.090093,2.730919,2.875028,2.875028,49313136
8/22/2020,2.87857,4.510613,2.816762,4.48469,4.48469,485801095
8/23/2020,4.487058,4.487058,3.716271,3.967066,3.967066,320749483
8/24/2020,3.987413,4.783158,3.81267,4.602614,4.602614,407690170
8/25/2020,4.584953,5.760776,4.501223,5.523393,5.523393,898847538
8/26/2020,5.541406,6.554688,5.136205,6.081717,6.081717,1054351759
8/27/2020,6.075772,6.78918,5.313926,5.628337,5.628337,1289248953
8/28/2020,5.639485,6.333746,5.540963,6.159955,6.159955,727162235
8/29/2020,6.175925,6.562906,6.042309,6.159143,6.159143,527290028
8/30/2020,6.15344,6.219506,5.749978,5.869881,5.869881,485335136
8/31/2020,5.905918,6.459377,5.772966,6.30002,6.30002,512604781
9/1/2020,6.29881,6.838898,6.172324,6.288766,6.288766,601527408
9/2/2020,6.282686,6.432652,5.657442,6.139465,6.139465,584155027
9/3/2020,6.131179,6.318079,5.68259,5.747868,5.747868,763663456
9/4/2020,5.72661,5.981395,4.62672,5.146038,5.146038,845787793
9/5/2020,5.72661,5.981395,4.62672,5.146038,5.146038,845787793
9/6/2020,5.72661,5.981395,4.62672,5.146038,5.146038,845787793
9/7/2020,5.72661,5.981395,4.62672,5.146038,5.146038,845787793
9/8/2020,5.72661,5.981395,4.62672,5.146038,5.146038,845787793
9/9/2020,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
9/10/2020,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
9/11/2020,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
9/12/2020,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
9/13/2020,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
9/14/2020,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
9/15/2020,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
9/16/2020,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
9/17/2020,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
9/18/2020,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
9/19/2020,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
9/20/2020,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
9/21/2020,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
9/22/2020,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
9/23/2020,4.1727,4.318419,3.97766,4.027708,4.027708,506491669
9/24/2020,4.018092,4.410974,3.995835,4.382961,4.382961,390254720
9/25/2020,4.383142,4.528383,4.268145,4.423528,4.423528,386655789
9/26/2020,4.423381,4.474607,4.249232,4.334268,4.334268,306278282
9/27/2020,4.334268,4.361825,4.144951,4.302318,4.302318,293119417
9/28/2020,4.302318,4.583,4.266205,4.401093,4.401093,488750086
9/29/2020,4.404835,4.603676,4.368208,4.500073,4.500073,464868721
9/30/2020,4.498007,4.502008,4.259805,4.353697,4.353697,352534726
10/1/2020,4.353697,4.578672,4.267363,4.346024,4.346024,400476985
10/2/2020,4.353697,4.578672,4.267363,4.346024,4.346024,400476985
10/3/2020,4.181025,4.241446,4.12824,4.170383,4.170383,308852045
10/4/2020,4.171682,4.193815,3.6424,3.755649,3.755649,613591683
10/5/2020,4.181025,4.241446,4.12824,4.170383,4.170383,308852045
10/6/2020,4.171682,4.193815,3.6424,3.755649,3.755649,613591683
10/7/2020,3.75519,3.887383,3.628293,3.859264,3.859264,586290320
10/8/2020,3.862732,4.163751,3.670183,4.117292,4.117292,573912568
10/9/2020,4.120344,4.354878,4.030412,4.273632,4.273632,457583964
10/10/2020,4.260407,4.475801,4.239729,4.252955,4.252955,492038159
10/11/2020,4.258698,4.33437,4.178621,4.262162,4.262162,388098954
10/12/2020,4.255739,4.437003,4.207902,4.319948,4.319948,489608532
10/13/2020,4.316079,4.344514,4.157707,4.2494,4.2494,420659946
10/14/2020,4.25553,4.358098,4.093734,4.199114,4.199114,520198619
10/15/2020,4.192293,4.192293,4.033811,4.096811,4.096811,450623089
10/16/2020,4.100024,4.157108,3.839912,3.909529,3.909529,443295515
10/17/2020,3.917128,3.977368,3.87161,3.967252,3.967252,206453737
10/18/2020,3.96836,4.121718,3.960012,4.104651,4.104651,204108300
10/19/2020,4.110965,4.111244,3.964166,3.990592,3.990592,249983724
10/20/2020,3.98969,4.138196,3.875639,3.910343,3.910343,502694692
10/21/2020,3.906004,4.245581,3.905341,4.14112,4.14112,458018406
10/22/2020,4.140915,4.331875,4.13165,4.26895,4.26895,367309225
10/23/2020,4.273909,4.474157,4.202276,4.26685,4.26685,461816707
10/24/2020,4.266853,4.430925,4.244643,4.355344,4.355344,310306551
10/25/2020,4.355344,4.44724,4.267938,4.335231,4.335231,339106539
10/26/2020,4.335231,4.738708,4.304171,4.727016,4.727016,722990809
10/27/2020,4.727016,4.92778,4.660536,4.683952,4.683952,820401908
10/28/2020,4.683954,4.774252,4.262277,4.365097,4.365097,649971737
10/29/2020,4.365098,4.403781,3.879251,4.053345,4.053345,686597328
10/30/2020,4.053278,4.156761,3.937187,4.088113,4.088113,586577443
10/31/2020,4.088186,4.274231,4.072736,4.181767,4.181767,318678917
11/1/2020,4.181673,4.225615,4.122063,4.225615,4.225615,302861123
11/2/2020,4.225769,4.261608,3.985631,4.030231,4.030231,503474044
11/3/2020,4.030229,4.065161,3.88637,4.025468,4.025468,413471120
11/4/2020,4.025474,4.147281,3.89419,4.098083,4.098083,836536271
11/5/2020,4.098084,4.297354,4.025676,4.235195,4.235195,375265287
11/6/2020,4.235197,4.633965,4.206799,4.579652,4.579652,463200955
11/7/2020,4.579652,4.838398,4.106514,4.24196,4.24196,724809168
11/8/2020,4.24196,4.426574,4.142644,4.372093,4.372093,393903989
11/9/2020,4.372093,4.457685,4.250327,4.346767,4.346767,396903279
11/10/2020,4.346766,4.498284,4.308892,4.415016,4.415016,379322634
11/11/2020,4.415018,4.620404,4.415018,4.457202,4.457202,404513889
11/12/2020,4.457201,4.471586,4.320396,4.39924,4.39924,367161906
11/13/2020,4.39924,4.585021,4.374127,4.54012,4.54012,342519103
11/14/2020,4.54012,4.550857,4.370526,4.465622,4.465622,331350626
11/15/2020,4.465622,4.491476,4.309565,4.379988,4.379988,325439057
11/16/2020,4.379988,4.589542,4.345863,4.4855,4.4855,445672647
11/17/2020,4.608518,4.910907,4.566731,4.844666,4.844666,675069949
11/18/2020,4.844668,4.92771,4.526838,4.679663,4.679663,671452167
11/19/2020,4.679658,4.848308,4.547364,4.756766,4.756766,551607999
11/20/2020,4.756759,5.459796,4.752435,5.233436,5.233436,1027776286
11/21/2020,5.233436,5.806043,5.141745,5.751921,5.751921,1022750932
11/22/2020,5.751921,5.834375,5.223394,5.481853,5.481853,1048639985
11/23/2020,5.481853,5.939077,5.422479,5.906932,5.906932,997956276
11/24/2020,5.907906,6.075694,5.624484,5.729446,5.729446,1113438978
11/25/2020,5.729335,5.81635,5.183073,5.30986,5.30986,1011116413
11/26/2020,5.308625,5.365759,4.459481,4.804577,4.804577,1433368624
11/27/2020,4.8059,5.068017,4.522344,4.78279,4.78279,864684858
11/28/2020,4.783548,4.944546,4.679183,4.900476,4.900476,415083876
11/29/2020,4.901079,5.200436,4.814233,5.190352,5.190352,451787953
11/30/2020,5.190307,5.437084,5.146362,5.37643,5.37643,649773393
12/1/2020,5.377254,5.530346,5.018441,5.093567,5.093567,777715514
12/2/2020,5.093467,5.532002,5.030747,5.464157,5.464157,607216780
12/3/2020,5.464745,5.564023,5.338207,5.410368,5.410368,354593131
12/4/2020,5.410147,5.434474,4.971953,5.032713,5.032713,422944392
12/5/2020,5.029704,5.190219,4.89216,5.188903,5.188903,408952852
12/6/2020,5.18796,5.201379,5.009244,5.135868,5.135868,299285627
12/7/2020,5.134985,5.154355,5.018779,5.06032,5.06032,242900962
12/8/2020,5.060634,5.067212,4.71274,4.733347,4.733347,398505417
12/9/2020,4.73315,4.936304,4.628309,4.861897,4.861897,477599466
12/10/2020,4.8637,4.912512,4.749417,4.797596,4.797596,299121449
12/11/2020,4.79806,4.804924,4.546074,4.621052,4.621052,366039075
12/12/2020,4.619786,4.797782,4.615325,4.740454,4.740454,282782417
12/13/2020,4.740725,4.995,4.735164,4.891212,4.891212,280953204
12/14/2020,4.891505,5.002225,4.835016,4.898082,4.898082,204385757
12/15/2020,4.897907,5.282553,4.854383,5.249607,5.249607,354033042
12/16/2020,5.248825,5.36189,5.124767,5.359313,5.359313,508481878
12/17/2020,5.359304,5.726208,5.292484,5.343967,5.343967,863948412
12/18/2020,5.344194,5.503851,5.258786,5.367641,5.367641,607402856
12/19/2020,5.36706,5.567254,5.287727,5.338945,5.338945,517648631
12/20/2020,5.338881,5.42929,5.090574,5.188476,5.188476,519415555
12/21/2020,5.188238,5.412279,4.806443,4.890545,4.890545,665375358
12/22/2020,4.888161,5.17324,4.814806,5.15483,5.15483,697260532
12/23/2020,5.154473,5.18419,4.619133,4.710613,4.710613,665441295
12/24/2020,4.711977,5.196156,4.655313,5.12882,5.12882,646511051
12/25/2020,5.127846,5.272006,5.043451,5.214211,5.214211,512565394
12/26/2020,5.214895,5.273874,5.093932,5.182181,5.182181,484934518
12/27/2020,5.181959,5.394439,4.952185,5.136191,5.136191,784179881
12/28/2020,5.136391,6.644754,5.122084,6.588822,6.588822,1746628677
12/29/2020,6.582754,7.607136,6.198066,7.519257,7.519257,2717983832
12/30/2020,7.51916,7.651448,7.088113,7.2543,7.2543,2059017628
12/31/2020,7.250568,9.43013,7.16996,9.292508,9.292508,2751292066
1/1/2021,9.28818,9.416587,8.120193,8.306819,8.306819,2791211123
1/2/2021,8.305491,9.761334,7.94329,9.208837,9.208837,3049232406
1/3/2021,9.209648,10.457493,8.873362,10.033282,10.033282,3032883074
1/4/2021,10.062048,10.505565,8.77721,9.469611,9.469611,2893262629
1/5/2021,9.475801,10.041344,9.084263,9.701655,9.701655,2080742171
1/6/2021,9.707112,10.371598,9.489742,10.096068,10.096068,2382484174
1/7/2021,10.094014,10.629004,9.496402,9.644586,9.644586,2521342760
1/8/2021,9.645126,9.795448,8.861685,9.307136,9.307136,2350202787
1/9/2021,9.305774,9.823151,9.053466,9.777765,9.777765,1478813229
1/10/2021,9.777318,9.994553,8.752951,9.305048,9.305048,1603968712
1/11/2021,9.304654,9.304654,7.22859,8.27644,8.27644,3251043299
1/12/2021,8.27226,8.616104,7.973653,8.264148,8.264148,1918790089
1/13/2021,8.265112,11.299746,7.989519,10.95771,10.95771,2915711372
1/14/2021,10.947876,14.549704,10.925012,14.53905,14.53905,5405054868
1/15/2021,14.52252,14.855377,11.851579,13.212381,13.212381,6159630996
1/16/2021,13.19805,19.322062,13.185755,18.180424,18.180424,8917081506
1/17/2021,18.150343,18.150343,16.40896,16.984255,16.984255,6091648732
1/18/2021,16.997015,18.101706,15.824631,16.512928,16.512928,3888179751
1/19/2021,16.521078,17.467545,16.048328,16.46851,16.46851,3414422602
1/20/2021,16.452497,18.125744,14.833469,17.948931,17.948931,4624508717
1/21/2021,17.979414,18.06077,15.052483,15.944838,15.944838,4843725549
1/22/2021,15.931008,17.983864,14.891926,17.16144,17.16144,2991599975
1/23/2021,17.15959,18.753698,16.870321,18.5982,18.5982,2842317183
1/24/2021,18.600634,18.724527,17.380526,17.999649,17.999649,2800444853
1/25/2021,17.997595,19.051945,17.119709,17.250456,17.250456,3351498659
1/26/2021,17.244648,17.769098,16.075432,17.117762,17.117762,2588253411
1/27/2021,17.116114,17.116114,15.084266,15.504862,15.504862,2973163193
1/28/2021,15.498237,16.925335,15.35657,16.859137,16.859137,3192851611
1/29/2021,17.102669,17.64279,16.032001,16.841612,16.841612,3657663582
1/30/2021,16.83675,17.050156,16.161949,16.506908,16.506908,1998709419
1/31/2021,16.51158,17.4561,15.813972,16.121315,16.121315,2540474629
2/1/2021,16.123022,16.516582,15.743364,16.375776,16.375776,2228986207
2/2/2021,16.381334,17.603918,16.039333,17.263256,17.263256,2658383685
2/3/2021,17.247202,20.733652,16.840366,20.733652,20.733652,4685307861
2/4/2021,20.728294,21.55595,19.043312,19.702183,19.702183,4858842246
2/5/2021,19.688629,21.283489,19.53171,20.902676,20.902676,3387079061
2/6/2021,20.892113,21.298307,19.814205,20.395479,20.395479,2622835075
2/7/2021,20.390621,20.777479,18.623793,19.793615,19.793615,3038407999
2/8/2021,19.78142,23.60817,19.233234,23.031898,23.031898,4736654530
2/9/2021,23.030056,24.054413,22.369637,23.129965,23.129965,3446396914
2/10/2021,23.113016,24.786268,22.136305,23.585051,23.585051,4203061885
2/11/2021,23.590525,25.577707,23.333549,25.230295,25.230295,4060334812
2/12/2021,25.174124,29.66853,24.549881,28.691257,28.691257,4562466560
2/13/2021,28.687117,30.146412,27.473082,28.016726,28.016726,4947621076
2/14/2021,28.013494,29.372906,26.543989,27.095736,27.095736,3550653217
2/15/2021,27.064634,29.448111,23.612612,27.780893,27.780893,5407907535
2/16/2021,27.763529,30.97386,26.960909,30.15991,30.15991,5274752208
2/17/2021,30.164309,32.347946,29.73284,31.986658,31.986658,4292546900
2/18/2021,31.981354,32.5783,30.629946,31.180639,31.180639,1992921510
2/19/2021,31.188147,34.9897,29.627645,34.792217,34.792217,3466759116
2/20/2021,34.797115,42.063049,34.797115,39.242176,39.242176,6056666197
2/21/2021,39.1712,40.474648,38.154545,39.696228,39.696228,3721239426
2/22/2021,39.696251,39.696251,31.362598,37.68948,37.68948,5770512363
2/23/2021,37.664928,37.714169,26.757643,34.300774,34.300774,7502138161
2/24/2021,34.33086,36.752567,31.975445,33.633545,33.633545,4724242061
2/25/2021,33.62117,35.079182,31.059273,31.08066,31.08066,3470266685
2/26/2021,31.14373,33.497753,28.10401,31.34609,31.34609,5147313877
2/27/2021,31.396252,35.524109,31.396252,33.449368,33.449368,4507278635
2/28/2021,33.454475,34.608173,29.963148,33.607258,33.607258,4567616883
3/1/2021,33.643158,35.584927,33.190712,35.584927,35.584927,3311498739
3/2/2021,35.588783,37.75642,34.592426,36.153118,36.153118,3752858101
3/3/2021,36.15831,38.548489,36.157448,37.04332,37.04332,2683665083
3/4/2021,37.038254,38.276112,34.45174,35.330311,35.330311,2868268909
3/5/2021,35.315254,35.315254,31.580065,33.724472,33.724472,3035955286
3/6/2021,33.68504,34.154377,32.182194,33.433693,33.433693,1637892895
3/7/2021,33.433842,35.219852,33.394974,35.18866,35.18866,1607577505
3/8/2021,35.1796,35.49192,33.50983,34.913754,34.913754,1855547495
3/9/2021,34.93092,38.74789,34.602131,38.194191,38.194191,3020766952
3/10/2021,38.179161,39.415619,36.439114,37.566944,37.566944,3143656899
3/11/2021,37.543221,37.971542,35.957386,36.882496,36.882496,2563507906
3/12/2021,36.889606,37.427666,34.685505,35.986954,35.986954,2198904040
3/13/2021,35.988693,38.153183,34.80978,37.15781,37.15781,2115307643
3/14/2021,37.170063,37.871597,36.337421,36.57925,36.57925,1640191647
3/15/2021,36.5611,38.381706,34.133301,34.357517,34.357517,2905566504
3/16/2021,34.34338,35.453289,32.241772,35.430832,35.430832,2518683413
3/17/2021,35.436008,36.358437,34.562584,36.141365,36.141365,2111418087
3/18/2021,36.108521,36.946239,35.455112,35.517223,35.517223,1639504239
3/19/2021,35.498119,38.966839,34.890217,38.27269,38.27269,2491198971
3/20/2021,38.288956,40.131458,37.336246,37.350479,37.350479,2133559564
3/21/2021,37.35635,38.154198,36.199936,36.79361,36.79361,1930244844
3/22/2021,36.79298,37.783882,35.402905,35.537544,35.537544,1929884756
3/23/2021,35.506939,36.402058,34.265068,34.460464,34.460464,1728982594
3/24/2021,34.452271,36.149006,28.338356,30.436436,30.436436,2729222673
3/25/2021,30.363176,31.234999,28.668222,29.982208,29.982208,3433822539
3/26/2021,29.969059,33.438625,29.936052,33.200386,33.200386,1735749438
3/27/2021,33.201748,33.532738,31.230959,32.661045,32.661045,1518535915
3/28/2021,32.642197,33.247307,31.467848,32.297894,32.297894,1138942373
3/29/2021,32.294109,34.688591,31.859144,34.373604,34.373604,1639815517
3/30/2021,34.36459,34.782276,33.612774,34.06686,34.06686,1281200870
3/31/2021,34.07513,38.195705,33.515579,37.027012,37.027012,3527967413
4/1/2021,37.091789,38.99464,36.192875,37.672878,37.672878,2811720573
4/2/2021,37.633999,41.380028,36.893692,41.164284,41.164284,2824216498
4/3/2021,41.181774,46.852703,41.071392,41.64603,41.64603,5242091095
4/4/2021,41.612789,45.217697,41.077255,44.65221,44.65221,3120632808
4/5/2021,44.665859,45.848614,42.254982,45.79723,45.79723,2937995181
4/6/2021,45.809887,46.22871,41.863831,43.430199,43.430199,3105511688
4/7/2021,43.420708,43.476429,38.046627,39.594013,39.594013,3804483298
4/8/2021,39.626659,41.505451,39.353764,41.365952,41.365952,1864637395
4/9/2021,41.352039,42.054798,40.16449,40.849308,40.849308,1318352700
4/10/2021,40.834583,42.748909,39.983257,41.626152,41.626152,1647212348
4/11/2021,41.613277,41.931141,39.987293,41.423397,41.423397,1534168401
4/12/2021,41.417294,41.73119,39.453617,40.497498,40.497498,1787924966
4/13/2021,40.449169,43.321964,39.860168,42.94791,42.94791,2556927711
4/14/2021,42.897575,44.53426,40.112778,42.640842,42.640842,2954854987
4/15/2021,42.572529,44.300522,41.516823,43.515972,43.515972,2266870610
4/16/2021,43.466961,43.798004,40.163826,41.537975,41.537975,2697585008
4/17/2021,41.513165,48.360451,41.498756,42.53595,42.53595,4593280503
4/18/2021,42.562031,43.106678,32.870373,37.347431,37.347431,5942657693
4/19/2021,37.373474,38.69323,34.065147,34.816669,34.816669,2813475560
