Date,Open,High,Low,Close,Adj Close,Volume
7/1/2017,1.03134,1.07176,0.989566,1.00669,1.00669,13613000
7/2/2017,0.996521,2.87751,0.822648,2.71005,2.71005,320452000
7/3/2017,2.71739,5.39597,2.63231,4.08664,4.08664,414950016
7/4/2017,4.09801,4.19124,2.93345,3.372,3.372,218559008
7/5/2017,3.356,3.5235,2.73013,3.00323,3.00323,124339000
7/6/2017,3.01426,3.86747,3.00783,3.36133,3.36133,177463008
7/7/2017,3.35117,3.35117,2.71324,2.80111,2.80111,96596496
7/8/2017,2.82468,2.89696,2.08513,2.5869,2.5869,151162000
7/9/2017,2.60043,2.69045,2.19378,2.29223,2.29223,87525104
7/10/2017,2.25308,2.38841,1.72273,1.83264,1.83264,79608800
7/11/2017,1.78543,1.82325,1.41903,1.65582,1.65582,111023000
7/12/2017,1.64458,2.09143,1.53795,2.07328,2.07328,104621000
7/13/2017,2.08498,2.1318,1.71059,1.74077,1.74077,51203900
7/14/2017,1.73386,1.76882,1.54147,1.54553,1.54553,41025200
7/15/2017,1.55349,1.55349,1.30281,1.30281,1.30281,34208800
7/16/2017,1.29061,1.34717,1.18583,1.25408,1.25408,30802800
7/17/2017,1.25419,1.5736,1.25419,1.54008,1.54008,62295100
7/18/2017,1.54347,1.75446,1.47609,1.69686,1.69686,58108000
7/19/2017,1.69973,1.78769,1.53801,1.55876,1.55876,55057600
7/20/2017,1.56651,1.76417,1.56651,1.74492,1.74492,45949800
7/21/2017,1.75521,2.01611,1.72721,1.81987,1.81987,58164900
7/22/2017,1.81533,1.99748,1.81489,1.95842,1.95842,41809000
7/23/2017,1.95954,2.1364,1.74106,1.86508,1.86508,60205000
7/24/2017,1.87869,1.94582,1.81795,1.87425,1.87425,36585400
7/25/2017,1.87755,1.89331,1.55221,1.64807,1.64807,42547000
7/26/2017,1.64363,1.73581,1.47301,1.73581,1.73581,48693200
7/27/2017,1.74884,1.98261,1.72976,1.95256,1.95256,69371696
7/28/2017,1.96301,2.00974,1.84593,1.84593,1.84593,64730400
7/29/2017,1.83133,1.8378,1.66163,1.83308,1.83308,44021100
7/30/2017,1.83031,1.84303,1.71336,1.7822,1.7822,27580200
7/31/2017,1.77448,1.78614,1.70743,1.73964,1.73964,29657700
8/1/2017,1.74647,1.80559,1.67707,1.78116,1.78116,39175500
8/2/2017,1.78152,1.8186,1.75898,1.77841,1.77841,28880800
8/3/2017,1.77653,1.81177,1.74645,1.80398,1.80398,25878000
8/4/2017,1.80235,1.84955,1.79878,1.80539,1.80539,34183300
8/5/2017,1.80163,1.97703,1.76357,1.90932,1.90932,52324800
8/6/2017,1.90366,1.90366,1.72447,1.73534,1.73534,38436700
8/7/2017,1.73261,1.82973,1.70643,1.80853,1.80853,46022400
8/8/2017,1.81099,2.04444,1.78939,1.8811,1.8811,76270800
8/9/2017,1.88256,1.94817,1.80991,1.82856,1.82856,36813700
8/10/2017,1.83259,1.88846,1.82522,1.82522,1.82522,43519300
8/11/2017,1.83044,1.8664,1.77052,1.78599,1.78599,49178400
8/12/2017,1.78759,1.8224,1.65637,1.66904,1.66904,38131800
8/13/2017,1.667,1.67896,1.57819,1.61649,1.61649,40514200
8/14/2017,1.61046,1.66784,1.54371,1.6582,1.6582,39205300
8/15/2017,1.65621,1.81006,1.59126,1.64659,1.64659,58304700
8/16/2017,1.64118,1.6431,1.58551,1.5979,1.5979,24022000
8/17/2017,1.5979,1.60735,1.52252,1.54645,1.54645,25713300
8/18/2017,1.53835,1.54169,1.39839,1.42195,1.42195,26841700
8/19/2017,1.42254,1.44416,1.31984,1.4045,1.4045,24769900
8/20/2017,1.40324,1.42158,1.35656,1.37036,1.37036,15673200
8/21/2017,1.36936,1.38426,1.32988,1.34083,1.34083,20152300
8/22/2017,1.33718,1.33749,1.26189,1.2845,1.2845,23774300
8/23/2017,1.28503,1.52914,1.28166,1.41093,1.41093,36567800
8/24/2017,1.41447,1.41526,1.34974,1.38037,1.38037,18034600
8/25/2017,1.38204,1.42912,1.35455,1.37847,1.37847,20444500
8/26/2017,1.37919,1.38831,1.34616,1.36088,1.36088,16466000
8/27/2017,1.36024,1.36976,1.33563,1.34782,1.34782,18124100
