Date,Open,High,Low,Close,Adj Close,Volume
7/25/2017,0.115203,0.115841,0.101531,0.10587,0.10587,145269
7/26/2017,0.105893,0.109013,0.099266,0.105138,0.105138,200395
7/27/2017,0.105108,0.108479,0.100888,0.107737,0.107737,344499
7/28/2017,0.107632,0.109019,0.101473,0.104067,0.104067,342568
7/29/2017,0.104782,0.111264,0.101108,0.107811,0.107811,340218
7/30/2017,0.107935,0.108138,0.103162,0.106414,0.106414,224261
7/31/2017,0.106828,0.108349,0.1016,0.10425,0.10425,240309
8/1/2017,0.104595,0.106266,0.096109,0.099867,0.099867,300413
8/2/2017,0.099721,0.101211,0.097361,0.100452,0.100452,256793
8/3/2017,0.100328,0.106978,0.09912,0.106642,0.106642,293008
8/4/2017,0.106685,0.107756,0.102699,0.107494,0.107494,287621
8/5/2017,0.107418,0.144653,0.10707,0.128871,0.128871,542878
8/6/2017,0.129293,0.132988,0.12738,0.130999,0.130999,393681
8/7/2017,0.133958,0.149765,0.1333,0.148848,0.148848,748177
8/8/2017,0.148998,0.226925,0.147766,0.224421,0.224421,2617340
8/9/2017,0.224748,0.260625,0.222158,0.242912,0.242912,3075320
8/10/2017,0.251827,0.349976,0.245052,0.349079,0.349079,4118070
8/11/2017,0.348785,0.409654,0.311067,0.392572,0.392572,4413920
8/12/2017,0.392193,0.475992,0.337589,0.446365,0.446365,5080760
8/13/2017,0.44599,1.02264,0.44599,0.876828,0.876828,13852100
8/14/2017,0.872918,1.46339,0.735764,1.29557,1.29557,51698100
8/15/2017,1.32709,1.37892,0.923372,1.05655,1.05655,19824400
8/16/2017,1.11969,1.45272,1.07869,1.43724,1.43724,31363100
8/17/2017,1.43697,2.11131,1.32364,1.96715,1.96715,61296500
8/18/2017,1.92519,2.75412,1.8947,2.384,2.384,69048000
8/19/2017,2.3344,2.3344,1.81994,2.09337,2.09337,43391300
8/20/2017,2.10821,2.68944,2.07582,2.50258,2.50258,65350400
8/21/2017,2.43075,2.90892,2.43075,2.70111,2.70111,72000600
8/22/2017,2.72445,2.72445,2.22479,2.48527,2.48527,52091300
8/23/2017,2.47397,2.95545,2.47397,2.58043,2.58043,64925100
8/24/2017,2.62736,2.66397,2.28338,2.37932,2.37932,45080400
8/25/2017,2.39057,2.72997,2.39057,2.49687,2.49687,49977600
8/26/2017,2.53038,2.53884,1.96056,2.16936,2.16936,26690700
8/27/2017,2.17997,2.31355,1.85802,2.00519,2.00519,17214900
8/28/2017,2.02149,2.16743,1.9628,2.0429,2.0429,15413900
8/29/2017,2.10625,2.32758,1.98973,2.32758,2.32758,20372000
8/30/2017,2.28194,2.36535,2.09456,2.35005,2.35005,24830000
8/31/2017,2.32823,2.40815,2.19645,2.20379,2.20379,20214800
9/1/2017,2.20169,2.38899,2.11652,2.38417,2.38417,20990700
9/2/2017,2.5,2.84927,1.72247,1.99268,1.99268,22995400
9/3/2017,1.92548,2.0193,1.42417,1.5758,1.5758,11662000
9/4/2017,1.57665,1.57665,0.61301,1.04957,1.04957,20075100
9/5/2017,1.03251,1.11945,0.740622,0.973716,0.973716,9453770
9/6/2017,0.990521,1.1713,0.7355,1.08614,1.08614,14279400
9/7/2017,1.03434,1.50827,0.956745,1.36622,1.36622,15442300
9/8/2017,1.39804,1.40393,0.946601,1.00683,1.00683,9872850
9/9/2017,1.0092,1.03378,0.863061,0.989301,0.989301,4011510
9/10/2017,0.982078,1.00276,0.852385,0.942159,0.942159,3257430
9/11/2017,0.949186,1.1017,0.902,1.02581,1.02581,5167180
9/12/2017,1.03348,1.20824,0.987632,1.03568,1.03568,7213490
9/13/2017,1.0429,1.0429,0.880241,0.937204,0.937204,2780700
9/14/2017,0.93787,0.950177,0.673482,0.678784,0.678784,3134360
9/15/2017,0.683305,0.849217,0.526755,0.799709,0.799709,4625680
9/16/2017,0.808056,0.927197,0.746113,0.804198,0.804198,2829570
9/17/2017,0.803423,0.814797,0.733745,0.789589,0.789589,1273640
9/18/2017,0.789565,0.937029,0.787604,0.909202,0.909202,3717860
9/19/2017,0.907398,0.909132,0.787653,0.802425,0.802425,2888420
9/20/2017,0.815032,0.816384,0.743676,0.74789,0.74789,2536950
9/21/2017,0.764013,0.781775,0.684281,0.70214,0.70214,2238040
9/22/2017,0.698871,0.740154,0.68326,0.715893,0.715893,2099500
9/23/2017,0.717196,0.7774,0.707845,0.770965,0.770965,2276080
9/24/2017,0.775804,0.788347,0.736221,0.783268,0.783268,2402720
9/25/2017,0.784244,0.936568,0.773316,0.917059,0.917059,3695220
9/26/2017,0.918922,0.940082,0.859212,0.860747,0.860747,3460160
9/27/2017,0.855698,1.20138,0.855698,1.14366,1.14366,8394020
9/28/2017,1.14843,1.43307,1.14508,1.37788,1.37788,13944300
9/29/2017,1.36698,1.36698,1.13546,1.26624,1.26624,8474270
9/30/2017,1.27,1.30772,1.22802,1.28358,1.28358,6194570
10/1/2017,1.28418,1.52895,1.2599,1.52653,1.52653,9043600
10/2/2017,1.52662,1.98287,1.51344,1.96467,1.96467,19367700
10/3/2017,1.96783,2.03295,1.67165,1.8207,1.8207,14411500
10/4/2017,1.8515,1.85747,1.51766,1.60148,1.60148,7227750
10/5/2017,1.63499,1.73519,1.41695,1.67849,1.67849,7503500
10/6/2017,1.67731,1.71358,1.53424,1.57991,1.57991,6076260
10/7/2017,1.60526,1.60526,1.50058,1.58425,1.58425,5578780
10/8/2017,1.57618,1.60408,1.21723,1.21723,1.21723,4515300
10/9/2017,1.20771,1.57743,1.20771,1.40378,1.40378,9667100
10/10/2017,1.43107,1.46911,1.34287,1.39336,1.39336,6912770
10/11/2017,1.39944,1.45616,1.37799,1.43373,1.43373,6123140
10/12/2017,1.42996,1.44019,1.28264,1.34376,1.34376,5275850
10/13/2017,1.33651,1.51166,1.18349,1.43548,1.43548,5705760
10/14/2017,1.46932,1.53819,1.40702,1.53819,1.53819,3355060
10/15/2017,1.49513,1.67941,1.40775,1.55844,1.55844,5987930
10/16/2017,1.55599,1.59992,1.39071,1.4407,1.4407,2960330
10/17/2017,1.43768,1.47355,1.35601,1.38995,1.38995,1744390
10/18/2017,1.39351,1.42086,1.20837,1.32756,1.32756,2311140
10/19/2017,1.32868,1.35361,1.24918,1.28461,1.28461,1791220
10/20/2017,1.28326,1.37281,1.21927,1.24192,1.24192,1703230
10/21/2017,1.23735,1.26935,1.17026,1.25405,1.25405,1331640
10/22/2017,1.2553,1.29945,1.18347,1.21377,1.21377,1631220
10/23/2017,1.23136,1.2781,1.09605,1.18373,1.18373,2355560
10/24/2017,1.17693,1.37906,1.13628,1.24843,1.24843,4833390
10/25/2017,1.24341,1.26927,1.17148,1.25278,1.25278,2288360
10/26/2017,1.26097,1.26097,1.09816,1.2086,1.2086,2400010
10/27/2017,1.20875,1.21728,1.10711,1.17418,1.17418,2067650
10/28/2017,1.18092,1.20429,1.13981,1.15257,1.15257,1495260
10/29/2017,1.17837,1.26073,1.15885,1.24123,1.24123,1969690
10/30/2017,1.23336,1.35859,1.20347,1.31227,1.31227,2437230
10/31/2017,1.33595,1.41038,1.27114,1.31289,1.31289,3397150
11/1/2017,1.33516,1.33516,1.21805,1.26154,1.26154,2118920
11/2/2017,1.26025,1.37244,1.19562,1.29963,1.29963,3550520
11/3/2017,1.29456,1.48037,1.29456,1.45922,1.45922,3201070
11/4/2017,1.45598,1.69993,1.39893,1.6372,1.6372,4685320
11/5/2017,1.63719,1.63719,1.45524,1.52166,1.52166,2681150
11/6/2017,1.52879,1.66504,1.48068,1.56979,1.56979,5042750
11/7/2017,1.56909,1.81819,1.55121,1.80644,1.80644,9469500
11/8/2017,1.79907,2.05518,1.77747,2.03102,2.03102,18796200
11/9/2017,2.05314,2.17423,1.89394,1.99077,1.99077,19192200
11/10/2017,2.00773,2.06947,1.64478,1.79684,1.79684,11155000
11/11/2017,1.78628,1.91775,1.61429,1.67047,1.67047,8178150
11/12/2017,1.66889,1.6728,1.46256,1.51969,1.51969,15298700
11/13/2017,1.52601,1.73502,1.5176,1.68662,1.68662,12238800
11/14/2017,1.68928,1.73537,1.56827,1.59258,1.59258,7829600
11/15/2017,1.58777,1.62498,1.4955,1.53045,1.53045,7615500
11/16/2017,1.55619,1.68222,1.53689,1.57792,1.57792,8928640
11/17/2017,1.58005,1.58266,1.4953,1.51036,1.51036,8508840
