Date,Open,High,Low,Close,Adj Close,Volume
3/16/1993,6.708333,6.875,6.666667,6.666667,3.507039,10505700
3/17/1993,6.708333,6.916667,6.708333,6.75,3.550876,2322600
3/18/1993,6.75,6.791667,6.666667,6.75,3.550876,1085100
3/19/1993,6.666667,6.708333,6.666667,6.666667,3.507039,1076100
3/22/1993,6.666667,6.708333,6.416667,6.708333,3.528959,1107600
3/23/1993,6.708333,6.75,6.666667,6.708333,3.528959,711300
3/24/1993,6.75,6.75,6.5,6.583333,3.463202,241200
3/25/1993,6.541667,6.708333,6.541667,6.666667,3.507039,538500
3/26/1993,6.666667,6.75,6.666667,6.75,3.550876,125400
3/29/1993,6.75,6.75,6.625,6.75,3.550876,380100
3/30/1993,6.75,6.875,6.75,6.875,3.616634,152100
3/31/1993,6.875,7.041667,6.875,6.916667,3.638553,471000
4/1/1993,6.833333,6.833333,6.666667,6.666667,3.507039,210000
4/2/1993,6.666667,6.708333,6.583333,6.583333,3.463202,808800
4/5/1993,6.583333,6.666667,6.583333,6.666667,3.507039,456000
4/6/1993,6.666667,6.666667,6.541667,6.583333,3.463202,303600
4/7/1993,6.625,6.625,6.458333,6.5,3.419363,241800
4/8/1993,6.5,6.541667,6.166667,6.291667,3.309768,81900
4/12/1993,6.541667,6.583333,6.5,6.583333,3.463202,234900
4/13/1993,6.625,6.833333,6.625,6.833333,3.594718,142200
4/14/1993,6.958333,7.041667,6.916667,6.916667,3.638553,198900
4/15/1993,6.875,6.875,6.666667,6.666667,3.507039,109200
4/16/1993,6.75,6.791667,6.666667,6.75,3.550876,74100
4/19/1993,6.708333,6.75,6.666667,6.708333,3.528959,138000
4/20/1993,6.75,6.791667,6.666667,6.75,3.550876,244800
4/21/1993,6.916667,7,6.75,6.791667,3.572798,459900
4/22/1993,6.708333,6.833333,6.708333,6.75,3.550876,117600
4/23/1993,6.75,6.791667,6.708333,6.791667,3.572798,41400
4/26/1993,6.791667,6.791667,6.583333,6.583333,3.463202,81900
4/27/1993,6.583333,6.583333,6.458333,6.5,3.419363,261900
4/28/1993,6.458333,6.5,6.416667,6.458333,3.397444,65700
4/29/1993,6.5,6.666667,6.5,6.625,3.485121,46800
4/30/1993,6.625,6.666667,6.625,6.625,3.485121,28200
5/3/1993,6.666667,6.666667,6.666667,6.666667,3.507039,10500
5/4/1993,6.75,6.958333,6.75,6.958333,3.660471,139200
5/5/1993,7,7.041667,6.916667,6.958333,3.660471,79800
5/6/1993,6.875,6.958333,6.875,6.916667,3.638553,99300
5/7/1993,6.916667,7,6.875,6.916667,3.638553,67500
5/10/1993,6.958333,6.958333,6.833333,6.916667,3.638553,72600
5/11/1993,6.916667,6.916667,6.791667,6.791667,3.572798,89700
5/12/1993,6.708333,6.791667,6.5,6.5,3.419363,378000
5/13/1993,6.416667,6.416667,6.208333,6.375,3.353607,197400
5/14/1993,6.416667,6.458333,6.333333,6.333333,3.331687,46500
5/17/1993,6.458333,6.5,6.333333,6.333333,3.331687,267900
5/18/1993,6.333333,6.375,6.25,6.375,3.353607,169800
5/19/1993,6.291667,6.458333,6.291667,6.458333,3.397444,152400
5/20/1993,6.25,6.25,6.041667,6.25,3.287848,1114800
5/21/1993,6.333333,6.5,6.208333,6.25,3.287848,100200
5/24/1993,6.166667,6.166667,6,6.041667,3.178256,482700
5/25/1993,6.041667,6.083333,6,6,3.156336,425700
5/26/1993,6,6.041667,5.875,5.875,3.09058,58500
5/27/1993,5.791667,5.916667,5.791667,5.833333,3.06866,291300
5/28/1993,5.833333,6,5.833333,6,3.156336,14100
6/1/1993,5.958333,6.125,5.958333,6.125,3.222093,25800
6/2/1993,6.208333,6.333333,6.166667,6.166667,3.244012,115500
6/3/1993,6.166667,6.291667,6.166667,6.208333,3.26593,120000
6/4/1993,6.125,6.208333,6.125,6.208333,3.26593,53700
6/7/1993,6.208333,6.208333,6.083333,6.083333,3.200173,69600
6/8/1993,6.083333,6.125,5.833333,5.833333,3.06866,126600
6/9/1993,5.833333,5.875,5.833333,5.875,3.09058,41100
6/10/1993,5.833333,5.833333,5.666667,5.666667,2.980983,234600
6/11/1993,5.583333,5.625,5.416667,5.625,2.959064,678000
6/14/1993,5.708333,6,5.708333,5.958333,3.134416,92700
6/15/1993,6.041667,6.333333,6.041667,6.333333,3.331687,193200
6/16/1993,6.5,6.625,6.5,6.541667,3.441284,326100
6/17/1993,6.625,6.833333,6.625,6.833333,3.594718,183300
6/18/1993,6.833333,6.833333,6.625,6.625,3.485121,240000
6/21/1993,6.541667,6.583333,6.375,6.458333,3.397444,84900
6/22/1993,6.458333,6.5,6.291667,6.333333,3.331687,183900
6/23/1993,6.375,6.458333,6.375,6.458333,3.397444,149700
6/24/1993,6.458333,6.458333,6.333333,6.333333,3.331687,73200
6/25/1993,6.333333,6.375,6.291667,6.333333,3.331687,132000
6/28/1993,6.333333,6.333333,6.25,6.25,3.287848,39000
6/29/1993,6.25,6.291667,6.208333,6.208333,3.26593,42900
6/30/1993,6.25,6.375,6.25,6.375,3.353607,155700
7/1/1993,6.416667,6.416667,6.291667,6.333333,3.331687,123900
7/2/1993,6.375,6.375,6.25,6.25,3.287848,97800
7/6/1993,6.25,6.25,5.958333,5.958333,3.134416,128400
7/7/1993,6,6,5.916667,5.916667,3.112497,154200
7/8/1993,5.916667,6.083333,5.916667,6.041667,3.178256,416100
7/9/1993,6,6.083333,6,6.041667,3.178256,51300
7/12/1993,6.083333,6.166667,6.041667,6.083333,3.200173,107700
7/13/1993,6.166667,6.208333,6.083333,6.083333,3.200173,40800
7/14/1993,6.083333,6.208333,6.083333,6.208333,3.26593,23400
7/15/1993,6.25,6.5,6.25,6.416667,3.375528,45000
7/16/1993,6.375,6.375,6.291667,6.333333,3.331687,46500
7/19/1993,6.291667,6.291667,6.166667,6.166667,3.244012,16200
7/20/1993,6.208333,6.291667,6.125,6.25,3.287848,38700
7/21/1993,6.291667,6.291667,6.208333,6.25,3.287848,179700
7/22/1993,6.291667,6.291667,6.25,6.291667,3.309768,12900
7/23/1993,6.333333,6.375,6.208333,6.291667,3.309768,139500
